ID,N,Strategy,K,Time,Status
1,5,smallest,3,0.42,OK
1,5,firstfail,3,0.403,OK
1,5,domwdeg,3,0.385,OK
1,5,maxregret,3,0.411,OK
1,5,default,3,0.386,OK
1,5,mostconstrained,3,0.396,OK
1,5,domwdeg_split,3,0.395,OK
1,5,antifirstfail,3,0.421,OK
1,5,norestart,3,0.382,OK
1,5,linear,3,0.405,OK
1,5,firstfail_split,3,0.409,OK
1,5,geometric,3,0.429,OK
2,5,default,3,0.349,OK
2,5,firstfail,3,0.375,OK
2,5,firstfail_split,3,0.335,OK
2,5,mostconstrained,3,0.355,OK
2,5,smallest,3,0.374,OK
2,5,norestart,3,0.325,OK
2,5,maxregret,3,0.361,OK
2,5,linear,3,0.367,OK
2,5,antifirstfail,3,0.39,OK
2,5,domwdeg_split,3,0.405,OK
2,5,domwdeg,3,0.392,OK
2,5,geometric,3,0.499,OK
3,5,default,4,0.204,OK
3,5,smallest,4,0.333,OK
3,5,mostconstrained,4,0.351,OK
3,5,norestart,4,0.337,OK
3,5,maxregret,4,0.341,OK
3,5,domwdeg,4,0.338,OK
3,5,firstfail_split,4,0.37,OK
3,5,firstfail,4,0.351,OK
3,5,domwdeg_split,4,0.358,OK
3,5,antifirstfail,4,0.377,OK
3,5,linear,4,0.404,OK
3,5,geometric,4,0.444,OK
4,5,default,2,0.272,OK
4,5,smallest,2,0.235,OK
4,5,mostconstrained,2,0.269,OK
4,5,norestart,2,0.274,OK
4,5,firstfail_split,2,0.277,OK
4,5,domwdeg,2,0.294,OK
4,5,maxregret,2,0.291,OK
4,5,domwdeg_split,2,0.324,OK
4,5,firstfail,2,0.253,OK
4,5,linear,2,0.232,OK
4,5,antifirstfail,2,0.22,OK
4,5,geometric,2,0.344,OK
5,5,smallest,3,0.238,OK
5,5,default,3,0.187,OK
5,5,firstfail_split,3,0.359,OK
5,5,mostconstrained,3,0.382,OK
5,5,norestart,3,0.378,OK
5,5,domwdeg_split,3,0.37,OK
5,5,domwdeg,3,0.386,OK
5,5,antifirstfail,3,0.37,OK
5,5,maxregret,3,0.371,OK
5,5,geometric,3,0.299,OK
5,5,linear,3,0.322,OK
5,5,firstfail,3,0.39,OK
6,5,smallest,2,0.349,OK
6,5,default,2,0.36,OK
6,5,firstfail_split,2,0.144,OK
6,5,firstfail,2,0.336,OK
6,5,norestart,2,0.357,OK
6,5,antifirstfail,2,0.336,OK
6,5,domwdeg_split,2,0.345,OK
6,5,maxregret,2,0.367,OK
6,5,mostconstrained,2,0.35,OK
6,5,domwdeg,2,0.367,OK
6,5,linear,2,0.405,OK
6,5,geometric,2,0.426,OK
7,5,smallest,2,0.3,OK
7,5,default,2,0.366,OK
7,5,firstfail,2,0.238,OK
7,5,firstfail_split,2,0.467,OK
7,5,norestart,2,0.261,OK
7,5,domwdeg_split,2,0.255,OK
7,5,domwdeg,2,0.256,OK
7,5,antifirstfail,2,0.278,OK
7,5,linear,2,0.245,OK
7,5,mostconstrained,2,0.25,OK
7,5,geometric,2,0.265,OK
7,5,maxregret,2,0.231,OK
8,5,smallest,4,0.224,OK
8,5,default,4,0.361,OK
8,5,firstfail,4,0.296,OK
8,5,firstfail_split,4,0.308,OK
8,5,domwdeg,4,0.253,OK
8,5,domwdeg_split,4,0.286,OK
8,5,norestart,4,0.349,OK
8,5,antifirstfail,4,0.31,OK
8,5,maxregret,4,0.301,OK
8,5,linear,4,0.298,OK
8,5,mostconstrained,4,0.327,OK
8,5,geometric,4,0.312,OK
9,5,smallest,2,0.291,OK
9,5,default,2,0.298,OK
9,5,firstfail_split,2,0.305,OK
9,5,firstfail,2,0.306,OK
9,5,domwdeg,2,0.268,OK
9,5,domwdeg_split,2,0.28,OK
9,5,norestart,2,0.257,OK
9,5,antifirstfail,2,0.311,OK
9,5,maxregret,2,0.316,OK
9,5,linear,2,0.319,OK
10,5,smallest,2,0.327,OK
9,5,geometric,2,0.293,OK
9,5,mostconstrained,2,0.358,OK
10,5,firstfail,2,0.211,OK
10,5,default,2,0.262,OK
10,5,firstfail_split,2,0.284,OK
10,5,domwdeg,2,0.31,OK
10,5,domwdeg_split,2,0.278,OK
10,5,norestart,2,0.271,OK
10,5,linear,2,0.284,OK
10,5,antifirstfail,2,0.306,OK
11,10,smallest,8,0.321,OK
10,5,maxregret,2,0.254,OK
10,5,mostconstrained,2,0.269,OK
10,5,geometric,2,0.264,OK
11,10,default,8,0.27,OK
11,10,firstfail,8,0.292,OK
11,10,firstfail_split,8,0.385,OK
11,10,norestart,8,0.351,OK
11,10,domwdeg,8,0.418,OK
11,10,domwdeg_split,8,0.456,OK
11,10,linear,8,0.323,OK
12,10,smallest,6,0.333,OK
11,10,antifirstfail,8,0.36,OK
11,10,geometric,8,0.346,OK
11,10,maxregret,8,0.369,OK
12,10,default,6,0.346,OK
12,10,firstfail,6,0.275,OK
12,10,firstfail_split,6,0.336,OK
12,10,norestart,6,0.32,OK
12,10,domwdeg_split,6,0.333,OK
12,10,domwdeg,6,0.355,OK
12,10,linear,6,0.347,OK
13,10,smallest,8,0.303,OK
13,10,default,8,0.28,OK
13,10,firstfail,8,0.312,OK
12,10,geometric,6,0.341,OK
12,10,antifirstfail,6,0.428,OK
12,10,maxregret,6,0.398,OK
13,10,firstfail_split,8,0.279,OK
13,10,domwdeg_split,8,0.311,OK
13,10,norestart,8,0.32,OK
13,10,domwdeg,8,0.276,OK
13,10,linear,8,0.266,OK
14,10,smallest,6,0.268,OK
14,10,default,6,0.265,OK
14,10,firstfail,6,0.26,OK
